"","Species","trait_name","standard_unit","Meanvalue"
"78","Acanthastrea hemprichi","Zooxanthellate","cat",NA
"79","Acanthastrea ishigakiensis","Abundance world","cat",NA
"80","Acanthastrea ishigakiensis","Coloniality","cat",NA
"81","Acanthastrea ishigakiensis","Depth lower","m",15
"82","Acanthastrea ishigakiensis","Depth upper","m",1
"83","Acanthastrea ishigakiensis","Eastern-most range edge","deg",-167.812868108
"84","Acanthastrea ishigakiensis","Genus fossil age","mya",25.666
"85","Acanthastrea ishigakiensis","Genus fossil stage","cat",NA
"86","Acanthastrea ishigakiensis","Geographical region","cat",NA
"87","Acanthastrea ishigakiensis","Growth form Veron","cat",NA
"88","Acanthastrea ishigakiensis","Growth form typical","cat",NA
"89","Acanthastrea ishigakiensis","IUCN Red List category","cat",NA
"90","Acanthastrea ishigakiensis","Indo-Pacific faunal province","cat",NA
"91","Acanthastrea ishigakiensis","Northern-most range edge","deg",36.78057671
"92","Acanthastrea ishigakiensis","Ocean basin","cat",NA
"93","Acanthastrea ishigakiensis","Range size","km^2",39456326.63
"94","Acanthastrea ishigakiensis","Southern-most range edge","deg",-27.59521638
"95","Acanthastrea ishigakiensis","Species age phylogeny","mya",2.47535686211955
"96","Acanthastrea ishigakiensis","Substrate attachment","cat",NA
"97","Acanthastrea ishigakiensis","Water clarity preference","cat",NA
"98","Acanthastrea ishigakiensis","Wave exposure preference","cat",NA
"99","Acanthastrea ishigakiensis","Western-most range edge","deg",31.8706407
"100","Acanthastrea ishigakiensis","Zooxanthellate","cat",NA
"101","Acanthastrea regularis","Abundance GBR","cat",NA
"102","Acanthastrea regularis","Abundance world","cat",NA
"103","Acanthastrea regularis","Coloniality","cat",NA
"104","Acanthastrea regularis","Depth lower","m",20
"105","Acanthastrea regularis","Depth upper","m",2
"106","Acanthastrea regularis","Eastern-most range edge","deg",157.08033235
"107","Acanthastrea regularis","Genus fossil age","mya",25.666
"108","Acanthastrea regularis","Genus fossil stage","cat",NA
"109","Acanthastrea regularis","Geographical region","cat",NA
"110","Acanthastrea regularis","Growth form Veron","cat",NA
"111","Acanthastrea regularis","Growth form typical","cat",NA
"112","Acanthastrea regularis","IUCN Red List category","cat",NA
"113","Acanthastrea regularis","Indo-Pacific faunal province","cat",NA
"114","Acanthastrea regularis","Northern-most range edge","deg",29.11683364
"115","Acanthastrea regularis","Ocean basin","cat",NA
"116","Acanthastrea regularis","Range size","km^2",15524615.27
"117","Acanthastrea regularis","Southern-most range edge","deg",-24.65362171
"118","Acanthastrea regularis","Species age phylogeny","mya",2.56281175185912
"119","Acanthastrea regularis","Substrate attachment","cat",NA
"120","Acanthastrea regularis","Water clarity preference","cat",NA
"121","Acanthastrea regularis","Wave exposure preference","cat",NA
"122","Acanthastrea regularis","Western-most range edge","deg",95.1112135
"123","Acanthastrea regularis","Zooxanthellate","cat",NA
"124","Acanthastrea rotundoflora","Abundance GBR","cat",NA
"125","Acanthastrea rotundoflora","Abundance world","cat",NA
"126","Acanthastrea rotundoflora","Coloniality","cat",NA
"127","Acanthastrea rotundoflora","Depth lower","m",30
"128","Acanthastrea rotundoflora","Depth upper","m",2
"129","Acanthastrea rotundoflora","Eastern-most range edge","deg",177.19387095
"130","Acanthastrea rotundoflora","Genus fossil age","mya",25.666
"131","Acanthastrea rotundoflora","Genus fossil stage","cat",NA
"132","Acanthastrea rotundoflora","Geographical region","cat",NA
"133","Acanthastrea rotundoflora","Growth form Veron","cat",NA
"134","Acanthastrea rotundoflora","Growth form typical","cat",NA
"135","Acanthastrea rotundoflora","IUCN Red List category","cat",NA
"136","Acanthastrea rotundoflora","Indo-Pacific faunal province","cat",NA
"137","Acanthastrea rotundoflora","Northern-most range edge","deg",37.05672973
"138","Acanthastrea rotundoflora","Ocean basin","cat",NA
"139","Acanthastrea rotundoflora","Range size","km^2",29870334.405
"140","Acanthastrea rotundoflora","Southern-most range edge","deg",-24.06128377
"141","Acanthastrea rotundoflora","Species age phylogeny","mya",2.47727808303031
"142","Acanthastrea rotundoflora","Substrate attachment","cat",NA
"143","Acanthastrea rotundoflora","Water clarity preference","cat",NA
"144","Acanthastrea rotundoflora","Wave exposure preference","cat",NA
"145","Acanthastrea rotundoflora","Western-most range edge","deg",32.7001322
"146","Acanthastrea rotundoflora","Zooxanthellate","cat",NA
"147","Acanthastrea subechinata","Abundance world","cat",NA
"148","Acanthastrea subechinata","Coloniality","cat",NA
"149","Acanthastrea subechinata","Corallite width minimum","mm",12.8
"150","Acanthastrea subechinata","Depth lower","m",35
"151","Acanthastrea subechinata","Depth upper","m",0
"152","Acanthastrea subechinata","Eastern-most range edge","deg",132.82219056
"153","Acanthastrea subechinata","Genus fossil age","mya",25.666
"154","Acanthastrea subechinata","Genus fossil stage","cat",NA
"155","Acanthastrea subechinata","Geographical region","cat",NA
"156","Acanthastrea subechinata","Growth form Veron","cat",NA
"157","Acanthastrea subechinata","Growth form typical","cat",NA
"158","Acanthastrea subechinata","IUCN Red List category","cat",NA
"159","Acanthastrea subechinata","Indo-Pacific faunal province","cat",NA
"160","Acanthastrea subechinata","Northern-most range edge","deg",19.99136173
"161","Acanthastrea subechinata","Ocean basin","cat",NA
"162","Acanthastrea subechinata","Range size","km^2",9201031.595
"163","Acanthastrea subechinata","Southern-most range edge","deg",-12.95321845
"164","Acanthastrea subechinata","Species age phylogeny","mya",2.11567172215937
"165","Acanthastrea subechinata","Substrate attachment","cat",NA
"166","Acanthastrea subechinata","Water clarity preference","cat",NA
"167","Acanthastrea subechinata","Wave exposure preference","cat",NA
"168","Acanthastrea subechinata","Western-most range edge","deg",94.9133586
"169","Acanthastrea subechinata","Zooxanthellate","cat",NA
"170","Acropora abrolhosensis","Abundance GBR","cat",NA
"171","Acropora abrolhosensis","Abundance world","cat",NA
"172","Acropora abrolhosensis","Coloniality","cat",NA
"173","Acropora abrolhosensis","Colony maximum diameter","cm",533.333333333333
"174","Acropora abrolhosensis","Corallite width maximum","mm",1.5
"175","Acropora abrolhosensis","Corallite width minimum","mm",0.9
"176","Acropora abrolhosensis","Depth lower","m",29.3333333333333
"177","Acropora abrolhosensis","Depth upper","m",2
"178","Acropora abrolhosensis","Eastern-most range edge","deg",-176.23392741
"179","Acropora abrolhosensis","Genus fossil age","mya",52.44
"180","Acropora abrolhosensis","Genus fossil stage","cat",NA
"181","Acropora abrolhosensis","Geographical region","cat",NA
"182","Acropora abrolhosensis","Growth form Veron","cat",NA
"183","Acropora abrolhosensis","Growth form Wallace","cat",NA
"184","Acropora abrolhosensis","Growth form typical","cat",NA
"185","Acropora abrolhosensis","Growth outline type","cat",NA
"186","Acropora abrolhosensis","IUCN Red List category","cat",NA
"187","Acropora abrolhosensis","Indo-Pacific faunal province","cat",NA
"188","Acropora abrolhosensis","Mode of larval development","cat",NA
"189","Acropora abrolhosensis","Northern-most range edge","deg",30.3465097
"190","Acropora abrolhosensis","Ocean basin","cat",NA
"191","Acropora abrolhosensis","Range size","km^2",25535461.155
"192","Acropora abrolhosensis","Sexual system","cat",NA
"193","Acropora abrolhosensis","Southern-most range edge","deg",-28.93109775
"194","Acropora abrolhosensis","Species age phylogeny","mya",2.0510166523841
"195","Acropora abrolhosensis","Substrate attachment","cat",NA
"196","Acropora abrolhosensis","Symbiodinium clade","cat",NA
"197","Acropora abrolhosensis","Symbiodinium subclade","cat",NA
"198","Acropora abrolhosensis","Water clarity preference","cat",NA
"199","Acropora abrolhosensis","Water depth","m",1
"200","Acropora abrolhosensis","Wave exposure preference","cat",NA
"201","Acropora abrolhosensis","Western-most range edge","deg",94.786195
"202","Acropora abrolhosensis","Zooxanthellate","cat",NA
"203","Acropora abrotanoides","Abundance GBR","cat",NA
"204","Acropora abrotanoides","Abundance world","cat",NA
"205","Acropora abrotanoides","Coloniality","cat",NA
"206","Acropora abrotanoides","Corallite width maximum","mm",1.2
"207","Acropora abrotanoides","Corallite width minimum","mm",0.7
"208","Acropora abrotanoides","Depth lower","m",20.5
"209","Acropora abrotanoides","Depth upper","m",0
"210","Acropora abrotanoides","Eastern-most range edge","deg",-136.33745034
"211","Acropora abrotanoides","Genus fossil age","mya",52.44
"212","Acropora abrotanoides","Genus fossil stage","cat",NA
"213","Acropora abrotanoides","Geographical region","cat",NA
"214","Acropora abrotanoides","Growth form Veron","cat",NA
"215","Acropora abrotanoides","Growth form Wallace","cat",NA
"216","Acropora abrotanoides","Growth form typical","cat",NA
"217","Acropora abrotanoides","Growth outline type","cat",NA
"218","Acropora abrotanoides","Growth rate","mm yr^-1",127.5
"219","Acropora abrotanoides","IUCN Red List category","cat",NA
"220","Acropora abrotanoides","Indo-Pacific faunal province","cat",NA
"221","Acropora abrotanoides","Mode of larval development","cat",NA
"222","Acropora abrotanoides","Northern-most range edge","deg",31.21066413
"223","Acropora abrotanoides","Ocean basin","cat",NA
"224","Acropora abrotanoides","Oocyte size at maturity","µm",661
"225","Acropora abrotanoides","Range size","km^2",63419684.165
"226","Acropora abrotanoides","Sexual system","cat",NA
"227","Acropora abrotanoides","Southern-most range edge","deg",-34.0029668
"228","Acropora abrotanoides","Species age phylogeny","mya",3.87591025313423
"229","Acropora abrotanoides","Substrate attachment","cat",NA
"230","Acropora abrotanoides","Water clarity preference","cat",NA
"231","Acropora abrotanoides","Water temperature","ºC",29.2
"232","Acropora abrotanoides","Wave exposure preference","cat",NA
"233","Acropora abrotanoides","Western-most range edge","deg",25.0445129
"234","Acropora abrotanoides","Zooxanthellate","cat",NA
"235","Acropora aculeus","Abundance GBR","cat",NA
"236","Acropora aculeus","Abundance world","cat",NA
"237","Acropora aculeus","Coloniality","cat",NA
"238","Acropora aculeus","Colony maximum diameter","cm",40
"239","Acropora aculeus","Corallite width maximum","mm",1
"240","Acropora aculeus","Corallite width minimum","mm",0.8
"241","Acropora aculeus","Depth lower","m",37.4
"242","Acropora aculeus","Depth upper","m",5.33333333333333
"243","Acropora aculeus","Eastern-most range edge","deg",-169.99388497
"244","Acropora aculeus","Genus fossil age","mya",52.44
"245","Acropora aculeus","Genus fossil stage","cat",NA
"246","Acropora aculeus","Geographical region","cat",NA
"247","Acropora aculeus","Growth form Veron","cat",NA
"248","Acropora aculeus","Growth form Wallace","cat",NA
"249","Acropora aculeus","Growth form typical","cat",NA
"250","Acropora aculeus","Growth outline type","cat",NA
"251","Acropora aculeus","IUCN Red List category","cat",NA
"252","Acropora aculeus","Indo-Pacific faunal province","cat",NA
"253","Acropora aculeus","Mode of larval development","cat",NA
"254","Acropora aculeus","Nitrogen concentration","%",0.702967494
"255","Acropora aculeus","Northern-most range edge","deg",29.08305865
"256","Acropora aculeus","Ocean basin","cat",NA
"257","Acropora aculeus","Phosphorus concentration","%",0.202319298
"258","Acropora aculeus","Range size","km^2",47171291.805
"259","Acropora aculeus","Sample identifier","id",161.5
"260","Acropora aculeus","Sexual system","cat",NA
"261","Acropora aculeus","Southern-most range edge","deg",-31.67116472
"262","Acropora aculeus","Species age phylogeny","mya",1.06543566288177
"263","Acropora aculeus","Substrate attachment","cat",NA
"264","Acropora aculeus","Symbiodinium clade","cat",NA
"265","Acropora aculeus","Symbiodinium subclade","cat",NA
"266","Acropora aculeus","Water clarity preference","cat",NA
"267","Acropora aculeus","Water depth","m",3.8875
"268","Acropora aculeus","Wave exposure preference","cat",NA
"269","Acropora aculeus","Western-most range edge","deg",35.8670617
"270","Acropora aculeus","Zooxanthellate","cat",NA
"271","Acropora acuminata","Abundance GBR","cat",NA
"272","Acropora acuminata","Abundance world","cat",NA
"273","Acropora acuminata","Coloniality","cat",NA
"274","Acropora acuminata","Colony maximum diameter","cm",133.333333333333
"275","Acropora acuminata","Corallite width maximum","mm",1.2
"276","Acropora acuminata","Corallite width minimum","mm",0.6
"277","Acropora acuminata","Depth lower","m",22.5
"278","Acropora acuminata","Depth upper","m",5
"279","Acropora acuminata","Eastern-most range edge","deg",-161.67828547
"280","Acropora acuminata","Genus fossil age","mya",52.44
"281","Acropora acuminata","Genus fossil stage","cat",NA
"282","Acropora acuminata","Geographical region","cat",NA
"283","Acropora acuminata","Growth form Veron","cat",NA
"284","Acropora acuminata","Growth form Wallace","cat",NA
"285","Acropora acuminata","Growth form typical","cat",NA
"286","Acropora acuminata","Growth outline type","cat",NA
"287","Acropora acuminata","IUCN Red List category","cat",NA
"288","Acropora acuminata","Indo-Pacific faunal province","cat",NA
"289","Acropora acuminata","Northern-most range edge","deg",30.75852777
"290","Acropora acuminata","Ocean basin","cat",NA
"291","Acropora acuminata","Range size","km^2",42885297.475
"292","Acropora acuminata","Southern-most range edge","deg",-35.12419872
"293","Acropora acuminata","Species age phylogeny","mya",1.93903601352788
"294","Acropora acuminata","Substrate attachment","cat",NA
"295","Acropora acuminata","Water clarity preference","cat",NA
"296","Acropora acuminata","Wave exposure preference","cat",NA
"297","Acropora acuminata","Western-most range edge","deg",30.3853529
"298","Acropora acuminata","Zooxanthellate","cat",NA
"299","Acropora akajimensis","Abundance GBR","cat",NA
"300","Acropora akajimensis","Abundance world","cat",NA
"301","Acropora akajimensis","Coloniality","cat",NA
"302","Acropora akajimensis","Depth lower","m",20
"303","Acropora akajimensis","Depth upper","m",0.5
"304","Acropora akajimensis","Eastern-most range edge","deg",132.67783959
"305","Acropora akajimensis","Genus fossil age","mya",52.44
"306","Acropora akajimensis","Genus fossil stage","cat",NA
"307","Acropora akajimensis","Geographical region","cat",NA
"308","Acropora akajimensis","Growth form Veron","cat",NA
"309","Acropora akajimensis","Growth form typical","cat",NA
"310","Acropora akajimensis","IUCN Red List category","cat",NA
"311","Acropora akajimensis","Indo-Pacific faunal province","cat",NA
"312","Acropora akajimensis","Northern-most range edge","deg",28.69531021
"313","Acropora akajimensis","Ocean basin","cat",NA
"314","Acropora akajimensis","Range size","km^2",7033121.9685
"315","Acropora akajimensis","Southern-most range edge","deg",-12.08814169
"316","Acropora akajimensis","Species age phylogeny","mya",1.3739231726837
"317","Acropora akajimensis","Substrate attachment","cat",NA
"318","Acropora akajimensis","Water clarity preference","cat",NA
"319","Acropora akajimensis","Wave exposure preference","cat",NA
"320","Acropora akajimensis","Western-most range edge","deg",94.9824297
"321","Acropora akajimensis","Zooxanthellate","cat",NA
"322","Acropora anthocercis","Abundance GBR","cat",NA
"323","Acropora anthocercis","Abundance world","cat",NA
"324","Acropora anthocercis","Coloniality","cat",NA
"325","Acropora anthocercis","Colony maximum diameter","cm",75
"326","Acropora anthocercis","Corallite width maximum","mm",1.3
"327","Acropora anthocercis","Corallite width minimum","mm",0.8
"328","Acropora anthocercis","Depth lower","m",17.5
"329","Acropora anthocercis","Depth upper","m",5
"330","Acropora anthocercis","Eastern-most range edge","deg",-172.89557322
"331","Acropora anthocercis","Genus fossil age","mya",52.44
"332","Acropora anthocercis","Genus fossil stage","cat",NA
"333","Acropora anthocercis","Geographical region","cat",NA
"334","Acropora anthocercis","Growth form Veron","cat",NA
"335","Acropora anthocercis","Growth form Wallace","cat",NA
"336","Acropora anthocercis","Growth form typical","cat",NA
"337","Acropora anthocercis","Growth outline type","cat",NA
"338","Acropora anthocercis","IUCN Red List category","cat",NA
"339","Acropora anthocercis","Indo-Pacific faunal province","cat",NA
"340","Acropora anthocercis","Mode of larval development","cat",NA
"341","Acropora anthocercis","Northern-most range edge","deg",37.84199738
"342","Acropora anthocercis","Ocean basin","cat",NA
"343","Acropora anthocercis","Range size","km^2",50575611
"344","Acropora anthocercis","Sexual system","cat",NA
"345","Acropora anthocercis","Southern-most range edge","deg",-35.53327447
"346","Acropora anthocercis","Species age phylogeny","mya",1.9100380709495
"347","Acropora anthocercis","Substrate attachment","cat",NA
"348","Acropora anthocercis","Water clarity preference","cat",NA
"349","Acropora anthocercis","Wave exposure preference","cat",NA
"350","Acropora anthocercis","Western-most range edge","deg",24.5075802
"351","Acropora anthocercis","Zooxanthellate","cat",NA
"352","Acropora appressa","Abundance world","cat",NA
"353","Acropora appressa","Coloniality","cat",NA
"354","Acropora appressa","Depth lower","m",15
"355","Acropora appressa","Depth upper","m",1
"356","Acropora appressa","Eastern-most range edge","deg",77.2123317
"357","Acropora appressa","Genus fossil age","mya",52.44
"358","Acropora appressa","Genus fossil stage","cat",NA
"359","Acropora appressa","Geographical region","cat",NA
"360","Acropora appressa","Growth form Veron","cat",NA
"361","Acropora appressa","Growth form typical","cat",NA
"362","Acropora appressa","IUCN Red List category","cat",NA
"363","Acropora appressa","Indo-Pacific faunal province","cat",NA
"364","Acropora appressa","Mode of larval development","cat",NA
"365","Acropora appressa","Northern-most range edge","deg",18.63569726
"366","Acropora appressa","Ocean basin","cat",NA
"367","Acropora appressa","Range size","km^2",10790849.868
"368","Acropora appressa","Sexual system","cat",NA
"369","Acropora appressa","Southern-most range edge","deg",-33.83191853
"370","Acropora appressa","Species age phylogeny","mya",2.36916149932627
"371","Acropora appressa","Substrate attachment","cat",NA
"372","Acropora appressa","Symbiodinium clade","cat",NA
"373","Acropora appressa","Symbiodinium subclade","cat",NA
"374","Acropora appressa","Water clarity preference","cat",NA
"375","Acropora appressa","Water depth","m",2.75
"376","Acropora appressa","Wave exposure preference","cat",NA
"377","Acropora appressa","Western-most range edge","deg",25.6415983
"378","Acropora appressa","Zooxanthellate","cat",NA
"379","Acropora arabensis","Abundance world","cat",NA
"380","Acropora arabensis","Coloniality","cat",NA
"381","Acropora arabensis","Corallite width maximum","mm",2
"382","Acropora arabensis","Corallite width minimum","mm",0.5
"383","Acropora arabensis","Depth lower","m",11
"384","Acropora arabensis","Depth upper","m",0.5
"385","Acropora arabensis","Eastern-most range edge","deg",76.3525493
"386","Acropora arabensis","Genus fossil age","mya",52.44
"387","Acropora arabensis","Genus fossil stage","cat",NA
"388","Acropora arabensis","Geographical region","cat",NA
"389","Acropora arabensis","Growth form Veron","cat",NA
"390","Acropora arabensis","Growth form Wallace","cat",NA
"391","Acropora arabensis","Growth form typical","cat",NA
"392","Acropora arabensis","Growth outline type","cat",NA
"393","Acropora arabensis","IUCN Red List category","cat",NA
"394","Acropora arabensis","Indo-Pacific faunal province","cat",NA
"395","Acropora arabensis","Mode of larval development","cat",NA
"396","Acropora arabensis","Northern-most range edge","deg",31.64127018
"397","Acropora arabensis","Ocean basin","cat",NA
"398","Acropora arabensis","Range size","km^2",14109748.511
"399","Acropora arabensis","Sexual system","cat",NA
"400","Acropora arabensis","Southern-most range edge","deg",-28.64357759
"401","Acropora arabensis","Species age phylogeny","mya",0.55112718077608
"402","Acropora arabensis","Substrate attachment","cat",NA
"403","Acropora arabensis","Water clarity preference","cat",NA
"404","Acropora arabensis","Wave exposure preference","cat",NA
"405","Acropora arabensis","Western-most range edge","deg",30.0193377
"406","Acropora arabensis","Zooxanthellate","cat",NA
"407","Acropora arafura","Genus fossil age","mya",52.44
"408","Acropora arafura","Genus fossil stage","cat",NA
"409","Acropora arafura","Zooxanthellate","cat",NA
"410","Acropora aspera","Abundance GBR","cat",NA
"411","Acropora aspera","Abundance world","cat",NA
"412","Acropora aspera","Calcification rate","g month^-1",0.0152727272727273
"413","Acropora aspera","Coloniality","cat",NA
"414","Acropora aspera","Corallite width maximum","mm",1.8
"415","Acropora aspera","Corallite width minimum","mm",1
"416","Acropora aspera","Depth lower","m",9.33333333333333
"417","Acropora aspera","Depth upper","m",0
"418","Acropora aspera","Eastern-most range edge","deg",-163.938967261
"419","Acropora aspera","Genus fossil age","mya",52.44
"420","Acropora aspera","Genus fossil stage","cat",NA
"421","Acropora aspera","Geographical region","cat",NA
"422","Acropora aspera","Growth form Veron","cat",NA
"423","Acropora aspera","Growth form Wallace","cat",NA
"424","Acropora aspera","Growth form typical","cat",NA
"425","Acropora aspera","Growth outline type","cat",NA
"426","Acropora aspera","Growth rate","mm month^-1",4.06426315789474
"427","Acropora aspera","Growth rate","mm yr^-1",43.8
"428","Acropora aspera","Habitat type","cat",NA
"429","Acropora aspera","IUCN Red List category","cat",NA
"430","Acropora aspera","Indo-Pacific faunal province","cat",NA
"431","Acropora aspera","Irradiance","µmol quanta m^-2 s^-1",1271
"432","Acropora aspera","Life history strategy","cat",NA
"433","Acropora aspera","Mode of larval development","cat",NA
"434","Acropora aspera","Month","cat",NA
"435","Acropora aspera","Northern-most range edge","deg",38.18648223
"436","Acropora aspera","Ocean basin","cat",NA
"437","Acropora aspera","Range size","km^2",41935916.085
"438","Acropora aspera","Season","cat",NA
"439","Acropora aspera","Sexual system","cat",NA
"440","Acropora aspera","Skeletal density","g cm-3",0.92
"441","Acropora aspera","Skeletal micro-density","g cm-3",2.788
"442","Acropora aspera","Southern-most range edge","deg",-35.7055169
"443","Acropora aspera","Species age phylogeny","mya",3.01610547560649
"444","Acropora aspera","Substrate attachment","cat",NA
"445","Acropora aspera","Symbiodinium clade","cat",NA
"446","Acropora aspera","Symbiodinium density","units cm^-2",1500000
"447","Acropora aspera","Symbiodinium subclade","cat",NA
"448","Acropora aspera","Tissue thickness","mm",1
"449","Acropora aspera","Water clarity preference","cat",NA
"450","Acropora aspera","Water depth","m",1.69047619047619
"451","Acropora aspera","Water temperature","ºC",28.3333333333333
"452","Acropora aspera","Wave exposure","cat",NA
"453","Acropora aspera","Wave exposure preference","cat",NA
"454","Acropora aspera","Western-most range edge","deg",70.1518221
"455","Acropora aspera","Year","cat",1988.54545454545
"456","Acropora aspera","Zooxanthellate","cat",NA
"457","Acropora austera","Abundance GBR","cat",NA
"458","Acropora austera","Abundance world","cat",NA
"459","Acropora austera","Calcification rate","g cm ^-2 yr^-1",1.82
"460","Acropora austera","Coloniality","cat",NA
"461","Acropora austera","Corallite width maximum","mm",1.5
"462","Acropora austera","Corallite width minimum","mm",0.6
"463","Acropora austera","Depth lower","m",24.75
"464","Acropora austera","Depth upper","m",3.75
"465","Acropora austera","Eastern-most range edge","deg",-137.60867727
"466","Acropora austera","Genus fossil age","mya",52.44
"467","Acropora austera","Genus fossil stage","cat",NA
"468","Acropora austera","Geographical region","cat",NA
"469","Acropora austera","Growth form Veron","cat",NA
"470","Acropora austera","Growth form Wallace","cat",NA
"471","Acropora austera","Growth form typical","cat",NA
"472","Acropora austera","Growth outline type","cat",NA
"473","Acropora austera","Growth rate","mm yr^-1",62.9
"474","Acropora austera","IUCN Red List category","cat",NA
"475","Acropora austera","Indo-Pacific faunal province","cat",NA
"476","Acropora austera","Northern-most range edge","deg",31.1205428
"477","Acropora austera","Ocean basin","cat",NA
"478","Acropora austera","Oocyte size at maturity","µm",545
"479","Acropora austera","Range size","km^2",60709970.61
"480","Acropora austera","Skeletal density","g cm-3",1.44
"481","Acropora austera","Southern-most range edge","deg",-34.58104986
"482","Acropora austera","Species age phylogeny","mya",1.30159797054609
"483","Acropora austera","Substrate attachment","cat",NA
"484","Acropora austera","Symbiodinium clade","cat",NA
"485","Acropora austera","Symbiodinium subclade","cat",NA
"486","Acropora austera","Water clarity preference","cat",NA
"487","Acropora austera","Water depth","m",2.36
"488","Acropora austera","Water temperature","ºC",29
"489","Acropora austera","Wave exposure preference","cat",NA
"490","Acropora austera","Western-most range edge","deg",27.2842283
"491","Acropora austera","Year","cat",NA
"492","Acropora austera","Zooxanthellate","cat",NA
"493","Acropora awi","Abundance world","cat",NA
"494","Acropora awi","Coloniality","cat",NA
"495","Acropora awi","Colony maximum diameter","cm",150
