observation_id,access,user_id,specie_id,specie_name,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
137944,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178858,143,Water depth,9,m,,,2,median,1,range,3,,
137944,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178859,151,Season,10,cat,,,Nov,raw_value,,,,,
137944,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178860,155,Colony area,57,cm^2,,,145.8478395,raw_value,,,,,data from Figure 5d
137944,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178861,216,Colony fecundity,77,mm^3,,,2748.79,raw_value,,,,,data from Figure 5d
137943,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178852,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137943,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178853,143,Water depth,9,m,,,2,median,1,range,3,,
137943,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178854,151,Season,10,cat,,,Nov,raw_value,,,,,
137943,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178855,155,Colony area,57,cm^2,,,122.0112847,raw_value,,,,,data from Figure 5d
137943,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178856,216,Colony fecundity,77,mm^3,,,0,raw_value,,,,,data from Figure 5d
137941,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178842,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137941,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178843,143,Water depth,9,m,,,2,median,1,range,3,,
137941,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178844,151,Season,10,cat,,,Nov,raw_value,,,,,
137941,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178845,155,Colony area,57,cm^2,,,101.976476,raw_value,,,,,data from Figure 5d
137941,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178846,216,Colony fecundity,77,mm^3,,,0,raw_value,,,,,data from Figure 5d
137940,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178837,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137940,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178838,143,Water depth,9,m,,,2,median,1,range,3,,
137940,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178839,151,Season,10,cat,,,Nov,raw_value,,,,,
137940,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178840,155,Colony area,57,cm^2,,,73.8924387,raw_value,,,,,data from Figure 5d
137940,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178841,216,Colony fecundity,77,mm^3,,,856.63,raw_value,,,,,data from Figure 5d
137937,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178823,143,Water depth,9,m,,,2,median,1,range,3,,
137937,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178822,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137937,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178824,151,Season,10,cat,,,Nov,raw_value,,,,,
137937,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178825,155,Colony area,57,cm^2,,,38.72576449,raw_value,,,,,data from Figure 5d
137937,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178826,216,Colony fecundity,77,mm^3,,,0,raw_value,,,,,data from Figure 5d
137936,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178817,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137936,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178818,143,Water depth,9,m,,,2,median,1,range,3,,
137936,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178819,151,Season,10,cat,,,Nov,raw_value,,,,,
137936,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178820,155,Colony area,57,cm^2,,,35.5467582,raw_value,,,,,data from Figure 5d
137936,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178821,216,Colony fecundity,77,mm^3,,,0,raw_value,,,,,data from Figure 5d
137952,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178897,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137952,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178898,143,Water depth,9,m,,,2,median,1,range,3,,
137952,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178899,151,Season,10,cat,,,Nov,raw_value,,,,,
137952,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178900,155,Colony area,57,cm^2,,,412.6672463,raw_value,,,,,data from Figure 5d
137952,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178901,216,Colony fecundity,77,mm^3,,,25714.8,raw_value,,,,,data from Figure 5d
138267,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,180502,12,Polyp fecundity,6,units,,,6.448,raw_value,0.145,standard_error,,,
138267,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,180503,46,Size at maturity,57,cm^2,,,59.42921586,raw_value,,,,,"We follow a different definition than the one in the resource paper. The colony diameter at which a coral is observed to start producing gametes and reproducing, instead of the size in which all colonies are reproducing."
138267,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,180504,142,Habitat type,10,cat,,,crest,raw_value,,,,,
138267,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,180505,143,Water depth,9,m,,,2,median,1,range,3,,
138267,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,180506,148,Polyps per area,47,units cm^-2,,,126,mean,4.7,standard_error,,,Counts
138267,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,180507,151,Season,10,cat,,,Nov,raw_value,,,,,
138267,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,180508,212,Ratio of female to male gonads,66,x:y,,,1.22,mean,0.1,standard_error,,,
137942,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178847,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137942,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178848,143,Water depth,9,m,,,2,median,1,range,3,,
137942,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178849,151,Season,10,cat,,,Nov,raw_value,,,,,
137942,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178850,155,Colony area,57,cm^2,,,102.6597022,raw_value,,,,,data from Figure 5d
137942,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178851,216,Colony fecundity,77,mm^3,,,2748.79,raw_value,,,,,data from Figure 5d
137939,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178832,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137939,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178833,143,Water depth,9,m,,,2,median,1,range,3,,
137939,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178834,151,Season,10,cat,,,Nov,raw_value,,,,,
137939,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178835,155,Colony area,57,cm^2,,,69.02398038,raw_value,,,,,data from Figure 5d
137939,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178836,216,Colony fecundity,77,mm^3,,,0,raw_value,,,,,data from Figure 5d
137938,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178827,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137938,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178828,143,Water depth,9,m,,,2,median,1,range,3,,
137938,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178829,151,Season,10,cat,,,Nov,raw_value,,,,,
137938,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178830,155,Colony area,57,cm^2,,,59.42921586,raw_value,,,,,data from Figure 5d
137938,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178831,216,Colony fecundity,77,mm^3,,,2348.09,raw_value,,,,,data from Figure 5d
137935,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178812,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137935,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178813,143,Water depth,9,m,,,2,median,1,range,3,,
137935,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178814,151,Season,10,cat,,,Nov,raw_value,,,,,
137935,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178815,155,Colony area,57,cm^2,,,33.13599378,raw_value,,,,,data from Figure 5d
137935,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178816,216,Colony fecundity,77,mm^3,,,0,raw_value,,,,,data from Figure 5d
137955,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178912,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137955,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178913,143,Water depth,9,m,,,2,median,1,range,3,,
137955,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178914,151,Season,10,cat,,,Nov,raw_value,,,,,
137955,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178915,155,Colony area,57,cm^2,,,690.875831,raw_value,,,,,data from Figure 5d
137955,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178916,216,Colony fecundity,77,mm^3,,,33089.25,raw_value,,,,,data from Figure 5d
137959,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178932,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137959,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178933,143,Water depth,9,m,,,2,median,1,range,3,,
137959,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178934,151,Season,10,cat,,,Nov,raw_value,,,,,
137959,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178935,155,Colony area,57,cm^2,,,908.447847,raw_value,,,,,data from Figure 5d
137959,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178936,216,Colony fecundity,77,mm^3,,,70452.08,raw_value,,,,,data from Figure 5d
137960,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178937,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137960,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178938,143,Water depth,9,m,,,2,median,1,range,3,,
137960,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178939,151,Season,10,cat,,,Nov,raw_value,,,,,
137960,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178940,155,Colony area,57,cm^2,,,951.6998481,raw_value,,,,,data from Figure 5d
137960,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178941,216,Colony fecundity,77,mm^3,,,41246.72,raw_value,,,,,data from Figure 5d
137961,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178942,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137961,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178943,143,Water depth,9,m,,,2,median,1,range,3,,
137961,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178944,151,Season,10,cat,,,Nov,raw_value,,,,,
137961,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178945,155,Colony area,57,cm^2,,,997.7000638,raw_value,,,,,data from Figure 5d
137961,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178946,216,Colony fecundity,77,mm^3,,,82450.77,raw_value,,,,,data from Figure 5d
137962,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178947,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137962,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178948,143,Water depth,9,m,,,2,median,1,range,3,,
137962,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178949,151,Season,10,cat,,,Nov,raw_value,,,,,
137962,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178950,155,Colony area,57,cm^2,,,1212.271793,raw_value,,,,,data from Figure 5d
137962,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178951,216,Colony fecundity,77,mm^3,,,66144.45,raw_value,,,,,data from Figure 5d
137963,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178952,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137963,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178953,143,Water depth,9,m,,,2,median,1,range,3,,
137963,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178954,151,Season,10,cat,,,Nov,raw_value,,,,,
137963,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178955,155,Colony area,57,cm^2,,,1231.969625,raw_value,,,,,data from Figure 5d
137963,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178956,216,Colony fecundity,77,mm^3,,,85093.21,raw_value,,,,,data from Figure 5d
137964,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178957,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137964,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178958,143,Water depth,9,m,,,2,median,1,range,3,,
137964,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178959,151,Season,10,cat,,,Nov,raw_value,,,,,
137964,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178960,155,Colony area,57,cm^2,,,1291.516622,raw_value,,,,,data from Figure 5d
137964,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178961,216,Colony fecundity,77,mm^3,,,124164.23,raw_value,,,,,data from Figure 5d
137945,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178862,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137945,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178863,143,Water depth,9,m,,,2,median,1,range,3,,
137945,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178864,151,Season,10,cat,,,Nov,raw_value,,,,,
137945,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178865,155,Colony area,57,cm^2,,,180.2187612,raw_value,,,,,data from Figure 5d
137945,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178866,216,Colony fecundity,77,mm^3,,,6433.28,raw_value,,,,,data from Figure 5d
137946,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178867,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137946,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178868,143,Water depth,9,m,,,2,median,1,range,3,,
137946,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178869,151,Season,10,cat,,,Nov,raw_value,,,,,
137946,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178870,155,Colony area,57,cm^2,,,197.8791335,raw_value,,,,,data from Figure 5d
137946,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178871,216,Colony fecundity,77,mm^3,,,6433.28,raw_value,,,,,data from Figure 5d
137948,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178877,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137948,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178878,143,Water depth,9,m,,,2,median,1,range,3,,
137948,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178879,151,Season,10,cat,,,Nov,raw_value,,,,,
137948,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178880,155,Colony area,57,cm^2,,,311.3149665,raw_value,,,,,data from Figure 5d
137948,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178881,216,Colony fecundity,77,mm^3,,,10319.48,raw_value,,,,,data from Figure 5d
137951,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178892,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137951,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178893,143,Water depth,9,m,,,2,median,1,range,3,,
137951,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178894,151,Season,10,cat,,,Nov,raw_value,,,,,
137951,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178895,155,Colony area,57,cm^2,,,399.8526697,raw_value,,,,,data from Figure 5d
137951,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178896,216,Colony fecundity,77,mm^3,,,20629.04,raw_value,,,,,data from Figure 5d
137965,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178962,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137965,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178963,143,Water depth,9,m,,,2,median,1,range,3,,
137965,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178964,151,Season,10,cat,,,Nov,raw_value,,,,,
137965,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178965,155,Colony area,57,cm^2,,,1984.266498,raw_value,,,,,data from Figure 5d
137965,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178966,216,Colony fecundity,77,mm^3,,,154773.71,raw_value,,,,,data from Figure 5d
137958,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178927,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137958,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178928,143,Water depth,9,m,,,2,median,1,range,3,,
137958,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178929,151,Season,10,cat,,,Nov,raw_value,,,,,
137958,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178930,155,Colony area,57,cm^2,,,820.7294172,raw_value,,,,,data from Figure 5d
137958,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178931,216,Colony fecundity,77,mm^3,,,62114.5,raw_value,,,,,data from Figure 5d
137957,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178922,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137957,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178923,143,Water depth,9,m,,,2,median,1,range,3,,
137957,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178924,151,Season,10,cat,,,Nov,raw_value,,,,,
137957,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178925,155,Colony area,57,cm^2,,,807.7928411,raw_value,,,,,data from Figure 5d
137957,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178926,216,Colony fecundity,77,mm^3,,,36365.37,raw_value,,,,,data from Figure 5d
137956,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178917,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137956,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178918,143,Water depth,9,m,,,2,median,1,range,3,,
137956,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178919,151,Season,10,cat,,,Nov,raw_value,,,,,
137956,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178920,155,Colony area,57,cm^2,,,788.8601176,raw_value,,,,,data from Figure 5d
137956,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178921,216,Colony fecundity,77,mm^3,,,28267.32,raw_value,,,,,data from Figure 5d
138009,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179212,142,Habitat type,10,cat,,,crest,raw_value,,,,,
138009,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179213,143,Water depth,9,m,,,2,median,1,range,3,,
138009,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179214,151,Season,10,cat,,,Nov,raw_value,,,,,
138009,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179215,155,Colony area,57,cm^2,,,310.1701499,raw_value,,,,,data from Figure 5a
138009,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179216,216,Colony fecundity,77,mm^3,,,13473.10725,raw_value,,,,,data from Figure 5a
138010,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179217,142,Habitat type,10,cat,,,crest,raw_value,,,,,
138010,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179218,143,Water depth,9,m,,,2,median,1,range,3,,
138010,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179219,151,Season,10,cat,,,Nov,raw_value,,,,,
138010,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179220,155,Colony area,57,cm^2,,,310.2415775,raw_value,,,,,data from Figure 5a
138010,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179221,216,Colony fecundity,77,mm^3,,,10751.266,raw_value,,,,,data from Figure 5a
138012,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179227,142,Habitat type,10,cat,,,crest,raw_value,,,,,
138012,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179228,143,Water depth,9,m,,,2,median,1,range,3,,
138012,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179229,151,Season,10,cat,,,Nov,raw_value,,,,,
138012,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179230,155,Colony area,57,cm^2,,,397.7406691,raw_value,,,,,data from Figure 5a
138012,1,9,80,Acropora hyacinthus,178,Lizard Island,-14.6689,145.4594,192,,179231,216,Colony fecundity,77,mm^3,,,21901.81828,raw_value,,,,,data from Figure 5a
